X,Y,OBJECTID,Ward,Precinct,Location2,Location3,Location4,Voting_Room,HP_Entrance_Only
770201.530064553,2948022.74528806,80,9,03,HAMPTON HOUSE,"155 NORTHAMPTON STREET, 02118",,VOTE IN THE COMMUNITY ROOM,
771457.109902471,2950030.78523523,81,9,01,YOUTH DEVELOPMENT PROGRAM,"100 WEST DEDHAM STREET, 02118",,,
768456.864918724,2946561.94145115,82,9,04,THE DEWITT CENTER,"122 DEWITT DRIVE, 02118",,VOTE IN GYMNASIUM,
766999.756284386,2942786.36238815,83,9,05,SHELBURNE CENTER,"2730 WASHINGTON STREET, 02119",,VOTE IN GYMNASIUM,
764685.365243882,2946980.11220273,84,10,01,MISSION MAIN COMMUNITY CENTER,"43 SMITH STREET., 02120",,VOTE IN COMMUNITY ROOM,
764685.365243882,2946980.11220273,85,10,02,MISSION MAIN COMMUNITY CENTER,"43 SMITH STREET., 02120",,VOTE IN COMMUNITY ROOM,
762762.093827978,2942529.87471214,86,10,06,JOHN F. KENNEDY ELEMENTARY SCHOOL,"7 BOLSTER STREET, 02130",,VOTE ON AUDITORIUM STAGE,
764825.985697553,2946341.9231904,87,10,05,TOBIN MUNICIPAL BUILDING,"1481 TREMONT STREET, 02120",,VOTE IN DOWNSTAIRS COMMUNITY ROOM,
764825.985697553,2946341.9231904,88,10,03,TOBIN MUNICIPAL BUILDING,"1481 TREMONT STREET, 02120",,VOTE IN DOWNSTAIRS COMMUNITY ROOM,
761854.529370144,2947067.17173989,89,10,04,ROBERT AND THERESA PARKS COMMUNITY BUILDING,"2 NEW WHITNEY STREET, 02115",,VOTE IN COMMUNITY ROOM ON FIRST FLOOR,
763840.198627144,2943313.29506131,90,10,07,JULIA MARTIN HOUSE,"90 BICKFORD STREET, 02130",,VOTE IN COMMUNITY ROOM,
765531.251675472,2945265.71766564,91,11,01,ROXBURY COMMUNITY COLLEGE,"1234 COLUMBUS AVENUE, 02120",,VOTE IN STUDENT LOUNGE 103,
768044.871976301,2942249.87691256,92,11,03,HIGGINSON/LEWIS K-8 SCHOOL,"131 WALNUT AVENUE, 02119",,VOTE IN GYMNASIUM,
761404.434469804,2945220.85850339,93,10,08,BACK OF THE HILL APARTMENTS,"100 SOUTH HUNTINGTON AVENUE, 02130",,VOTE IN COMMUNITY ROOM,
766999.756284386,2942786.36238815,94,11,02,SHELBURNE CENTER,"2730 WASHINGTON STREET, 02119",,VOTE IN GYMNASIUM,
765109.225616634,2940188.11430381,95,11,05,WALNUT PARK APARTMENTS,"1990 COLUMBUS AVENUE, 02119",,VOTE IN COMMUNITY ROOM,
764291.405729964,2941554.50297523,96,11,04,WORD OF LIFE TABERNACLE CHURCH,"120 AMORY STREET, 02119",,VOTE IN BISHOP SAMUEL A. DARDEN HALL.,
763369.677914634,2938536.40763348,97,11,06,BROOKSIDE FAMILY LIFE CENTER,"3297 WASHINGTON STREET, 02130",,VOTE IN COMMUNITY ROOM,
760764.8766938,2941342.18548648,98,10,09,CURLEY K-8 (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL),"493 CENTRE STREET, 02130",,VOTE IN CAFETERIA,
761771.043972805,2936776.15590465,99,11,07,BOSTON ENGLISH HIGH SCHOOL,"144 MCBRIDE STREET, 02130",,VOTE ON AUDITORIUM STAGE,
761771.043972805,2936776.15590465,100,11,08,BOSTON ENGLISH HIGH SCHOOL,"144 MCBRIDE STREET, 02130",,VOTE ON AUDITORIUM STAGE,
768727.340755716,2944383.2633938,101,12,01,BOYS AND GIRLS CLUB OF BOSTON - YAWKEY CLUB OF ROXBURY,"115 WARREN STREET, 02119",,VOTE IN WHITLOCK PERFORMING ARTS CENTER.,
760464.188646883,2937261.09522347,102,11,09,MARGARITA MUNIZ ACADEMY (FORMERLY LOUIS AGASSIZ ELEMENTARY SCHOOL),"20 CHILD STREET, 02130",,VOTE IN GYMNASIUM,
760464.188646883,2937261.09522347,103,11,10,MARGARITA MUNIZ ACADEMY (FORMERLY LOUIS AGASSIZ ELEMENTARY SCHOOL),"20 CHILD STREET, 02130",,VOTE IN GYMNASIUM,
768044.871976301,2942249.87691256,104,12,03,HIGGINSON/LEWIS K-8 SCHOOL,"131 WALNUT AVENUE, 02119",,VOTE IN GYMNASIUM,
768727.340755716,2944383.2633938,105,12,04,BOYS AND GIRLS CLUB OF BOSTON - YAWKEY CLUB OF ROXBURY,"115 WARREN STREET, 02119",,VOTE IN WHITLOCK PERFORMING ARTS CENTER.,
767334.341573223,2937553.01130632,106,12,07,HOLGATE APARTMENTS,"129 ELM HILL AVENUE, 02121",,VOTE IN LOUNGE,
770091.496491969,2940135.29682414,107,12,06,REVEREND DR. MICHAEL E. HAYNES EARLY EDUCATION CENTER,"263 BLUE HILL AVENUE, 02119",,VOTE IN CAFETERIA,
768044.871976301,2942249.87691256,108,12,08,HIGGINSON/LEWIS K-8 SCHOOL,"131 WALNUT AVENUE, 02119",,VOTE IN GYMNASIUM,
768044.871976301,2942249.87691256,109,12,09,HIGGINSON/LEWIS K-8 SCHOOL,"131 WALNUT AVENUE, 02119",,VOTE IN GYMNASIUM,
768859.804401562,2941459.75972639,110,12,02,DR MARTIN LUTHER KING JR. TOWERS,"280 MARTIN L. KING BOULEVARD, 02119",,VOTE IN COMMUNITY ROOM,
768859.804401562,2941459.75972639,111,12,05,DR MARTIN LUTHER KING JR. TOWERS,"280 MARTIN L. KING BOULEVARD, 02119",,VOTE IN COMMUNITY ROOM,
770938.947224885,2941263.75027589,112,13,01,JOHN WINTHROP ELEMENTARY SCHOOL,"35 BROOKFORD STREET, 02125",,VOTE IN JOSEPH JOYCE AUDITORIUM,
779185.079354644,2941629.8538744,113,13,03,CORCORAN MULLINS JENNISON COMMUNITY BUILDING,"270 MOUNT VERNON STREET, 02125",,"Vote in Portland Hall, 2nd Floor",
770938.947224885,2941263.75027589,114,13,02,JOHN WINTHROP ELEMENTARY SCHOOL,"35 BROOKFORD STREET, 02125",,VOTE IN JOSEPH JOYCE AUDITORIUM,
774803.900452971,2941128.78729123,115,13,06,ANNAPOLIS APARTMENTS,"8A ANNAPOLIS STREET, 02125",,VOTE IN COMMUNITY ROOM,
771015.020891637,2937931.0974924,116,13,04,LILLA G. FREDERICK PILOT MIDDLE SCHOOL,"270 COLUMBIA ROAD, 02121",,VOTE IN GYMNASIUM,
775225.200791478,2939624.40808214,117,13,09,EDWARD EVERETT ELEMENTARY SCHOOL,"71 PLEASANT STREET, 02125",,VOTE IN ART ROOM ON MAIN FLOOR.,
773300.64197655,2940343.04247165,118,13,05,UPHAMS CROSSING,"530 COLUMBIA ROAD, 02119",,VOTE IN MEETING ROOM.,
775737.586577728,2942161.27669606,119,13,07,SAINT JOHN PAUL II CATHOLIC ACADEMY COLUMBIA CAMPUS (FORMERLY KNOWN AS SAINT MARGARET'S SCHOOL),"790 COLUMBIA ROAD, 02125",,VOTE IN CAFETERIA,
